place,type,address,시군구명,동명
래미안대치팰리스아파트 112동앞 놀이터,주택단지,"서울특별시 강남구 삼성로51길 37 (대치동, 래미안 대치 팰리스(1단지))",강남구,대치동
래미안대치팰리스아파트 103동앞 놀이터,주택단지,"서울특별시 강남구 삼성로51길 37 (대치동, 래미안 대치 팰리스(1단지))",강남구,대치동
아이플러스어린이집 놀이터,어린이집,"서울특별시 강남구 밤고개로26길 50 (율현동, 강남 한신휴플러스 6단지)관리동",강남구,율현동
강남한신휴플러스6단지 604동앞 놀이터,주택단지,서울특별시 강남구 밤고개로24길 61 (율현동),강남구,율현동
강남한신휴플러스8단지아파트 (808동뒤 놀이터),주택단지,서울 강남구 율현동밤고개로 27길 20,강남구,율현동
강남한신휴플러스8단지아파트 (801동앞 놀이터),주택단지,서울 강남구 율현동밤고개로 27길 20,강남구,율현동
강남한신휴플러스8단지아파트 (811동앞 놀이터),주택단지,서울 강남구 율현동밤고개로 27길 20,강남구,율현동
해피어린이집,어린이집,"서울특별시 강남구 광평로19길 10 (수서동, 까치마을아파트)",강남구,수서동
율현공원 어린이놀이터 1(서울시),도시공원,"서울특별시 강남구 자곡로 260 (자곡동, 강남한양수자인아파트)",강남구,자곡동
청담릴리펏,놀이제공영업소,서울특별시 강남구 선릉로 820 (청담동),강남구,청담동
강남브리즈힐아파트유아놀이터,주택단지,"서울특별시 강남구 자곡로3길 45 (자곡동, LH 강남브리즈힐)",강남구,자곡동
강남브리즈힐아파트406동옆어린이놀이터1,주택단지,"서울특별시 강남구 자곡로3길 45 (자곡동, LH 강남브리즈힐)",강남구,자곡동
청담대우유로카운티 103동 놀이터,주택단지,"서울특별시 강남구 도산대로92길 10 (청담동, 청담대우유로카운티)",강남구,청담동
성아어린이집 놀이터(옥상),어린이집,서울특별시 강남구 논현로32길 16 (도곡동),강남구,도곡동
라이즈역삼 어학원,학원,서울특별시 강남구 도곡로37길 5 (역삼동),강남구,역삼동
청담공원어린이놀이터,도시공원,서울특별시 강남구 영동대로131길 26 (청담동)강남구 청담동 66번지 청담공원어린이놀이터,강남구,청담동
강남A-5 504동피로티놀이터(LH강남힐스테이트),주택단지,"서울특별시 강남구 자곡로3길 21 (자곡동, LH강남힐스테이트)",강남구,자곡동
강남A-5 501동피로티놀이터(LH강남힐스테이트),주택단지,"서울특별시 강남구 자곡로3길 21 (자곡동, LH강남힐스테이트)",강남구,자곡동
강남A-5 502동안쪽 어린이놀이터2(LH강남힐스테이트),주택단지,"서울특별시 강남구 자곡로3길 21 (자곡동, LH강남힐스테이트)",강남구,자곡동
강남A-5 503동안쪽 어린이놀이터3(LH강남힐스테이트),주택단지,"서울특별시 강남구 자곡로3길 21 (자곡동, LH강남힐스테이트)",강남구,자곡동
강남A-5 501동앞쪽 유아놀이터(LH강남힐스테이트),주택단지,"서울특별시 강남구 자곡로3길 21 (자곡동, LH강남힐스테이트)",강남구,자곡동
강남A-5 504동안쪽 휴게소2놀이터(LH강남힐스테이트),주택단지,"서울특별시 강남구 자곡로3길 21 (자곡동, LH강남힐스테이트)",강남구,자곡동
탄천물 재생센터내 관사어린이놀이터,주택단지,"서울특별시 강남구 개포로 625 (일원동, 탄천물재생센터)",강남구,일원동
강남A-5 505동안쪽 어린이놀이터4(LH강남힐스테이트),주택단지,"서울특별시 강남구 자곡로3길 21 (자곡동, LH강남힐스테이트)",강남구,자곡동
강남A-5 501동안쪽 어린이놀이터1(LH강남힐스테이트),주택단지,"서울특별시 강남구 자곡로3길 21 (자곡동, LH강남힐스테이트)",강남구,자곡동
청담스위틀학원,학원,서울특별시 강남구 선릉로 820 (청담동),강남구,청담동
GKL행복어린이집,어린이집,서울특별시 강남구 삼성로122길 7 (삼성동),강남구,삼성동
무역센터꿈나무어린이집실내놀이터,어린이집,서울특별시 강남구 테헤란로87길 58 (삼성동),강남구,삼성동
탄천복개공원 어린이놀이터,도시공원,서울특별시 강남구 일원로 43 (일원동),강남구,일원동
서울은곡유치원,유치원,서울특별시 강남구 헌릉로569길 41 (세곡동),강남구,세곡동
휴먼터치빌아파트 3층옥상,주택단지,"서울특별시 강남구 논현로 565 (역삼동, 휴먼터치빌)",강남구,역삼동
우성캐릭터199아파트어린이놀이터,주택단지,"서울특별시 강남구 언주로 118 (도곡동, 우성캐릭터199)",강남구,도곡동
도곡2차아파트102동뒤어린이놀이터1,주택단지,"서울특별시 강남구 도곡로14길 28 (도곡동, 도곡2차 I PARK)",강남구,도곡동
충현어린이집 실외놀이시설,어린이집,서울특별시 강남구 봉은사로30길 73 (역삼동),강남구,역삼동
서울신구유치원,유치원,서울특별시 강남구 압구정로18길 28 (신사동),강남구,신사동
개나리푸르지오 아파트 305동,주택단지,"서울특별시 강남구 역삼로 314 (역삼동, 개나리푸르지오아파트)개나리푸르지오아파트",강남구,역삼동
역삼2차 아이파크,주택단지,"서울특별시 강남구 도곡로57길 12 (역삼동, 역삼2차아이파크아파트)",강남구,역삼동
강남LH1단지이편한세상아파트 유아놀이터,주택단지,"서울특별시 강남구 헌릉로571길 20 (세곡동, 강남엘에이치1단지)",강남구,세곡동
강남LH1단지이편한세상아파트 어린이놀이터 3,주택단지,"서울특별시 강남구 헌릉로571길 20 (세곡동, 강남엘에이치1단지)",강남구,세곡동
강남LH1단지이편한세상아파트 어린이놀이터 2,주택단지,"서울특별시 강남구 헌릉로571길 20 (세곡동, 강남엘에이치1단지)",강남구,세곡동
강남LH1단지이편한세상아파트 어린이놀이터1,주택단지,"서울특별시 강남구 헌릉로571길 20 (세곡동, 강남엘에이치1단지)",강남구,세곡동
아크로힐스논현아파트놀이터2,주택단지,"서울특별시 강남구 언주로 604 (논현동, ACROHILLS논현)",강남구,논현동
아크로힐스논현아파트놀이터1,주택단지,"서울특별시 강남구 언주로 604 (논현동, ACROHILLS논현)",강남구,논현동
아크로힐스논현아파트유아놀이터,주택단지,"서울특별시 강남구 언주로 604 (논현동, ACROHILLS논현)",강남구,논현동
강남브리즈힐아파트408동앞어린이놀이터1,주택단지,"서울특별시 강남구 자곡로3길 45 (자곡동, LH 강남브리즈힐)",강남구,자곡동
몬테키즈어학원,학원,서울특별시 강남구 압구정로42길 25-5 (신사동),강남구,신사동
역삼e-편한세상 102동앞놀이터,주택단지,"서울특별시 강남구 선릉로69길 20 (역삼동, 역삼e편한세상아파트)",강남구,역삼동
역삼래미안아파트풀벌레원놀이터(108동),주택단지,"서울특별시 강남구 선릉로69길 19 (역삼동, 역삼래미안아파트)",강남구,역삼동
역삼래미안아파트하늘그림놀이터(109동),주택단지,"서울특별시 강남구 선릉로69길 19 (역삼동, 역삼래미안아파트)",강남구,역삼동
역삼래미안아파트유아놀이터,주택단지,"서울특별시 강남구 선릉로69길 19 (역삼동, 역삼래미안아파트)",강남구,역삼동
역삼래미안아파트물그림놀이터(106동옆),주택단지,"서울특별시 강남구 선릉로69길 19 (역삼동, 역삼래미안아파트)",강남구,역삼동
강남LH8단지 병아리놀이터,주택단지,"서울특별시 강남구 자곡로 154 (자곡동, 엘에이치강남8단지)",강남구,자곡동
강남LH3단지 유아놀이터,주택단지,서울특별시 강남구 자곡로3길 22 (자곡동，엘에이치강남3단지),강남구,자곡동
강남LH3단지 어린이놀이터4,주택단지,서울특별시 강남구 자곡로3길 22 (자곡동，엘에이치강남3단지),강남구,자곡동
강남LH3단지 어린이놀이터3,주택단지,서울특별시 강남구 자곡로3길 22 (자곡동，엘에이치강남3단지),강남구,자곡동
강남LH3단지 어린이놀이터2,주택단지,서울특별시 강남구 자곡로3길 22 (자곡동，엘에이치강남3단지),강남구,자곡동
강남LH3단지 어린이놀이터1,주택단지,서울특별시 강남구 자곡로3길 22 (자곡동，엘에이치강남3단지),강남구,자곡동
서울세명초등학교,학교,서울특별시 강남구 자곡로 55 (세곡동),강남구,세곡동
LH 강남아이파크 어린이 놀이터4 (706동앞),주택단지,서울특별시 강남구 자곡로7길 8-4 (자곡동)자곡로 175,강남구,자곡동
LH 강남아이파크 어린이 놀이터3 (705동앞),주택단지,서울특별시 강남구 자곡로7길 8-4 (자곡동)자곡로 175,강남구,자곡동
LH 강남아이파크 어린이놀이터2 (709동앞),주택단지,서울특별시 강남구 자곡로7길 8-4 (자곡동)자곡로 175,강남구,자곡동
LH 강남아이파크  어린이놀이터1 (어린이집옆),주택단지,서울특별시 강남구 자곡로7길 8-4 (자곡동)자곡로 175,강남구,자곡동
개포6차우성아파트 놀이터(7동),주택단지,서울특별시 강남구 언주로 3 (개포동，우성6차아파트),강남구,개포동
서울자곡초등학교,학교,서울특별시 강남구 자곡로 150 (자곡동),강남구,자곡동
서울자곡초등학교병설유치원,유치원,서울특별시 강남구 자곡로 150 (자곡동),강남구,자곡동
힐즈어린이집 놀이터,주택단지,서울특별시 강남구 자곡로 101 (자곡동，래미안 강남힐즈)관리동,강남구,자곡동
래미안힐즈아파트어린이놀이터3,주택단지,서울특별시 강남구 자곡로 101 (자곡동，래미안 강남힐즈),강남구,자곡동
래미안힐즈아파트어린이놀이터2,주택단지,서울특별시 강남구 자곡로 101 (자곡동，래미안 강남힐즈),강남구,자곡동
래미안힐즈아파트어린이놀이터1,주택단지,서울특별시 강남구 자곡로 101 (자곡동，래미안 강남힐즈),강남구,자곡동
강남데시앙포레어린이놀이터2,주택단지,"서울특별시 강남구 광평로34길 55 (수서동, 강남데시앙포레아파트)",강남구,수서동
